Name,Age,Purchase Amount,Date,Time
William Batdorf,26,83.59,02-07-2023,19:12:24
Sarah Williams,34,39.71,02-07-2023,19:12:24
Deborah Bowman,45,50.63,02-07-2023,19:12:24
Michelle Lasala,29,34.42,02-07-2023,19:12:24
Tammy Sutton,23,71.73,02-07-2023,19:12:24
Jacqueline Siegel,56,37.11,02-07-2023,19:12:24
Leon Pantoja,32,60.74,02-07-2023,19:12:24
Addie Mangione,27,93.35,02-07-2023,19:12:24
Teresa Lombardo,44,58.64,02-07-2023,19:12:24
Kraig Trotter,52,65.48,02-07-2023,19:12:24
Christopher Johnson,60,66.58,02-07-2023,19:12:24
Michael Walker,26,62.5,02-07-2023,19:12:24
Amy Millar,55,92.07,02-07-2023,19:12:24
Mark Deck,23,90.63,02-07-2023,19:12:24
John Rigsby,29,30.49,02-07-2023,19:12:24
Victor Parker,44,42.21,02-07-2023,19:12:24
Tamara Graham,25,42.56,02-07-2023,19:12:24
Marquita Rowland,63,70.43,02-07-2023,19:12:24
Vivian Robinson,57,88.77,02-07-2023,19:12:24
Sharon Mundy,35,45.16,02-07-2023,19:12:24
Victoria Stewart,63,67.32,02-07-2023,19:12:24
Adrienne Eng,65,96.92,02-07-2023,19:12:24
Florence Cardenas,32,70.96,02-07-2023,19:12:24
Nancy Jewell,30,31.09,02-07-2023,19:12:24
Jayne Baim,37,98.91,02-07-2023,19:12:24
Emma Pina,27,53.82,02-07-2023,19:12:24
Adriana Noriega,35,33.32,02-07-2023,19:12:24
Annie Langley,65,20.77,02-07-2023,19:12:24
Ryan Tappin,21,36.63,02-07-2023,19:12:24
Timothy Cunningham,25,42.06,02-07-2023,19:12:24
John Cusack,61,58.86,02-07-2023,19:12:24
Herman Searby,26,70.88,02-07-2023,19:12:24
Jennifer Ryan,21,58.56,02-07-2023,19:12:24
Henry Bohrman,25,23.86,02-07-2023,19:12:24
Chris Ragone,45,63.61,02-07-2023,19:12:24
Anne Mccoy,19,72.93,02-07-2023,19:12:24
Peter White,45,55.24,02-07-2023,19:12:24
Scott Perez,56,84.41,02-07-2023,19:12:24
Mark Oconner,61,59.54,02-07-2023,19:12:24
Brenda Swinson,24,54.27,02-07-2023,19:12:24
Jeremiah Long,50,78.13,02-07-2023,19:12:24
Gladys Tew,48,76.65,02-07-2023,19:12:24
Elizabeth Opie,39,99.14,02-07-2023,19:12:24
Lisa Sanots,60,47.21,02-07-2023,19:12:24
Reynaldo Barton,52,25.28,02-07-2023,19:12:24
Evan Ringhouse,64,70.77,02-07-2023,19:12:24
Deborah Clemmons,31,34.34,02-07-2023,19:12:24
Dominique Cote,48,70.78,02-07-2023,19:12:24
April Ratliff,58,37.08,02-07-2023,19:12:24
Teresa Durden,60,29.89,02-07-2023,19:12:24
Antone Guadalupe,23,80.91,02-07-2023,19:12:24
Sherman Fernando,21,29.57,02-07-2023,19:12:24
Ronald Beattie,33,35.81,02-07-2023,19:12:24
Edward Quiros,63,75.67,02-07-2023,19:12:24
Elvira Thuringer,40,87.55,02-07-2023,19:12:24
Scott Diaz,52,92.32,02-07-2023,19:12:24
Randall Childress,47,85.28,02-07-2023,19:12:24
Joyce May,37,97.76,02-07-2023,19:12:24
Paulette Richey,63,42.65,02-07-2023,19:12:24
Judith Funke,42,62.68,02-07-2023,19:12:24
Tawana Shores,61,41.66,02-07-2023,19:12:24
Peggy Tinker,28,46.44,02-07-2023,19:12:24
Mary Rose,57,38.29,02-07-2023,19:12:24
Sun Chrisman,22,70.29,02-07-2023,19:12:24
Carol Schell,39,33.35,02-07-2023,19:12:24
Alfred Tiner,32,85.78,02-07-2023,19:12:24
Robert Merz,53,20.53,02-07-2023,19:12:24
Kenneth Miller,51,26.93,02-07-2023,19:12:24
Anthony Mitton,44,33.42,02-07-2023,19:12:24
Carlos Washington,57,23.27,02-07-2023,19:12:24
Mary Lupu,21,88.28,02-07-2023,19:12:24
Vincent Mcgraw,30,28.44,02-07-2023,19:12:24
Mark Stewarts,46,71.31,02-07-2023,19:12:24
Gregory Kenney,18,79.82,02-07-2023,19:12:24
Leonard Torres,60,49.81,02-07-2023,19:12:24
Manuela Clayton,33,31.39,02-07-2023,19:12:24
Richelle Duncan,59,97.54,02-07-2023,19:12:24
Beverly Peterson,29,79.57,02-07-2023,19:12:24
Elizabeth Donovan,45,37.36,02-07-2023,19:12:24
James King,49,21.92,02-07-2023,19:12:24
Ida Troxell,29,23.56,02-07-2023,19:12:24
Diane Hess,58,73.05,02-07-2023,19:12:24
Kristen Green,18,32.88,02-07-2023,19:12:24
June Skinner,58,72.07,02-07-2023,19:12:24
Cecil Banks,31,84.29,02-07-2023,19:12:24
Mable Vaughn,51,79.81,02-07-2023,19:12:24
Stephanie Vent,30,73.37,02-07-2023,19:12:24
Shandra Cooper,41,85.05,02-07-2023,19:12:24
Timothy Frazier,33,63.13,02-07-2023,19:12:24
Erin Wolfe,19,96.71,02-07-2023,19:12:24
James Groves,46,34.9,02-07-2023,19:12:24
Ruby Nguyen,28,78.93,02-07-2023,19:12:24
Catherine Ketchum,36,21.98,02-07-2023,19:12:24
Christopher Swinger,45,36.52,02-07-2023,19:12:24
Johnny Kennedy,30,71.94,02-07-2023,19:12:24
David Sedlock,39,41.48,02-07-2023,19:12:24
Michael Gerlach,54,37.09,02-07-2023,19:12:24
Lawrence Worcester,63,69.3,02-07-2023,19:12:24
Lane Gonzalez,42,50.5,02-07-2023,19:12:24
Jonathan Slivka,58,57.08,02-07-2023,19:12:24
Kasey Justice,44,85.69,02-07-2023,19:12:24
William Poole,33,32.53,02-07-2023,19:12:24
Erica White,62,85.74,02-07-2023,19:12:24
Nathan Pennington,44,42.74,02-07-2023,19:12:24
Jennifer Gonzales,56,95.21,02-07-2023,19:12:24
Julianne Crabtree,62,58.79,02-07-2023,19:12:24
Donald Alonzo,24,88.35,02-07-2023,19:12:24
Jeremy Broderick,65,27.89,02-07-2023,19:12:24
Catherine Fuller,26,70.79,02-07-2023,19:12:24
Linda Morrissey,52,76.14,02-07-2023,19:12:24
Adeline Brown,61,88.82,02-07-2023,19:12:24
Tambra Flores,21,41.64,02-07-2023,19:12:24
Jamie Whittier,58,96.06,02-07-2023,19:12:24
Ruth Gay,60,26.81,02-07-2023,19:12:24
Dale Robertson,24,73.28,02-07-2023,19:12:24
Vicki Corning,46,91.45,02-07-2023,19:12:24
Ernest Maciel,46,90.63,02-07-2023,19:12:24
Yolanda Sheppard,38,53.72,02-07-2023,19:12:24
William Myers,22,82.2,02-07-2023,19:12:24
Robert Delaney,44,95.14,02-07-2023,19:12:24
Elton Ball,65,49.61,02-07-2023,19:12:24
Mary Whitfield,37,55.19,02-07-2023,19:12:24
Ruth Swift,33,80.99,02-07-2023,19:12:24
Mary Garcia,25,30.36,02-07-2023,19:12:24
Vernice Grennan,41,87.87,02-07-2023,19:12:24
Karen Harcar,54,38.39,02-07-2023,19:12:24
Kathi Siegel,30,59.7,02-07-2023,19:12:24
Joseph Brown,56,86.29,02-07-2023,19:12:24
Verla Gilchrist,25,40.36,02-07-2023,19:12:24
Stephen Karsten,41,77.23,02-07-2023,19:12:24
Connie Dudley,19,56.97,02-07-2023,19:12:24
Mildred Jenkins,36,63.86,02-07-2023,19:12:24
Susan Dimaio,54,84.07,02-07-2023,19:12:24
David Lerma,42,45.54,02-07-2023,19:12:24
Edward Jeter,46,66.26,02-07-2023,19:12:24
Nicholas Blumenfeld,63,54.33,02-07-2023,19:12:24
Alfred Naranjo,32,92.41,02-07-2023,19:12:24
George Miller,20,63.57,02-07-2023,19:12:24
Robert Cook,56,31.75,02-07-2023,19:12:24
Lawrence Smith,38,74.04,02-07-2023,19:12:24
Martin Wallace,58,64.41,02-07-2023,19:12:24
Kristina Driver,57,95.94,02-07-2023,19:12:24
Amanda Guo,58,48.67,02-07-2023,19:12:24
Elvin Caudle,59,29.71,02-07-2023,19:12:24
Larry Sanders,21,62.98,02-07-2023,19:12:24
David Wilson,44,40.23,02-07-2023,19:12:24
Myrna Muhlbauer,50,27.58,02-07-2023,19:12:24
Patrick Tiller,59,25.83,02-07-2023,19:12:24
Carla Hahn,61,53.08,02-07-2023,19:12:24
Amy Thompson,22,36.29,02-07-2023,19:12:24
Ellen Bailey,42,74.67,02-07-2023,19:12:24
Rebecca Swanston,56,32.88,02-07-2023,19:12:24
Barbara Griffin,35,26.98,02-07-2023,19:12:24
Dagmar Herndon,36,41.66,02-07-2023,19:12:24
Robert Leslie,33,31.95,02-07-2023,19:12:24
Luisa Devoll,33,52.47,02-07-2023,19:12:24
Ed Murphy,55,42.1,02-07-2023,19:12:24
Phillip Wisniewski,60,84.52,02-07-2023,19:12:24
Betty Marshall,65,68.2,02-07-2023,19:12:24
John Halle,56,55.95,02-07-2023,19:12:24
Joyce Fagnani,22,56.69,02-07-2023,19:12:24
Amanda Wyatt,20,77.71,02-07-2023,19:12:24
Betty Humphrey,40,40.17,02-07-2023,19:12:24
Sophie Crowe,37,26.79,02-07-2023,19:12:24
Barbara Long,27,94.36,02-07-2023,19:12:24
Vernon Davila,28,55.28,02-07-2023,19:12:24
Carolyn Lisby,56,66.55,02-07-2023,19:12:24
Alexander Pena,62,32.53,02-07-2023,19:12:24
Heather Trahan,34,45.92,02-07-2023,19:12:24
Corey Combs,46,68.26,02-07-2023,19:12:24
Efren Smith,41,52.74,02-07-2023,19:12:24
Patrick Kalhorn,25,66.63,02-07-2023,19:12:24
Charles Fowler,44,42.81,02-07-2023,19:12:24
Heather Fishman,44,52.82,02-07-2023,19:12:24
Marjorie Mata,60,45.39,02-07-2023,19:12:24
Tammy Dasilva,29,78.89,02-07-2023,19:12:24
Bobbi Smith,25,74.51,02-07-2023,19:12:24
Edward Kelly,49,50.02,02-07-2023,19:12:24
Jill King,29,46.16,02-07-2023,19:12:24
Misti Thompson,27,21.09,02-07-2023,19:12:24
Daniel Matt,48,47.77,02-07-2023,19:12:24
David Boyd,27,36.86,02-07-2023,19:12:24
Daniel Rief,53,75.72,02-07-2023,19:12:24
Kimberly Bryant,38,89.99,02-07-2023,19:12:24
David Peters,43,96.98,02-07-2023,19:12:24
Kristin Child,61,34.17,02-07-2023,19:12:24
Pearl Giese,64,70.36,02-07-2023,19:12:24
Frank Aubert,40,92.52,02-07-2023,19:12:24
Riley Lamay,27,61.52,02-07-2023,19:12:24
Mary Platter,30,97.79,02-07-2023,19:12:24
Jason Palencia,51,42.97,02-07-2023,19:12:24
Daniel Seaman,30,42.72,02-07-2023,19:12:24
Don Blake,60,32.18,02-07-2023,19:12:24
Paul Patterson,64,93.16,02-07-2023,19:12:24
Jason Smith,21,56.84,02-07-2023,19:12:24
Jennifer Craig,18,92.07,02-07-2023,19:12:24
Harold Jackson,52,86.66,02-07-2023,19:12:24
Warren Bennett,52,24.55,02-07-2023,19:12:24
Helen Maione,50,67.21,02-07-2023,19:12:24
Hazel Lacey,35,45.38,02-07-2023,19:12:24
Lynn Rivera,52,89.44,02-07-2023,19:12:24
James Strobel,24,66.36,02-07-2023,19:12:24
Benjamin Anderson,47,21.16,02-07-2023,19:12:24
Gary Robbins,57,67.54,02-07-2023,19:12:24
Lois Thompson,53,65.08,02-07-2023,19:12:24
Jorge Deruyter,60,30.34,02-07-2023,19:12:24
Hannah Penrod,29,48.16,02-07-2023,19:12:24
Katherine Whaley,54,39.89,02-07-2023,19:12:24
Paul Hudgens,21,21.95,02-07-2023,19:12:24
Tina Smallwood,39,91.22,02-07-2023,19:12:24
Teresa Gunderson,60,27.1,02-07-2023,19:12:24
William Gonzalez,54,64.14,02-07-2023,19:12:24
Mary Tuck,55,76.95,02-07-2023,19:12:24
Jason Eckman,61,98.67,02-07-2023,19:12:24
Rhea Cocco,24,65.41,02-07-2023,19:12:25
Carlos Gonzalez,25,80.23,02-07-2023,19:12:25
Melanie Massey,26,36.76,02-07-2023,19:12:25
Jose Reyes,48,88.0,02-07-2023,19:12:25
April Padgett,32,85.75,02-07-2023,19:12:25
Douglas Colby,60,49.19,02-07-2023,19:12:25
Joanna Fisher,41,37.18,02-07-2023,19:12:25
Raul Workman,27,65.83,02-07-2023,19:12:25
Verna Shurtleff,53,68.32,02-07-2023,19:12:25
Alec Mitchiner,49,39.83,02-07-2023,19:12:25
Charles Patterson,22,59.77,02-07-2023,19:12:25
George Bettencourt,53,62.02,02-07-2023,19:12:25
Michael Mcdonald,43,39.85,02-07-2023,19:12:25
Martin Miesner,25,80.77,02-07-2023,19:12:25
Faith Johnson,60,22.72,02-07-2023,19:12:25
Curtis Guerin,46,60.15,02-07-2023,19:12:25
Dewayne Isaacson,50,24.02,02-07-2023,19:12:25
Frances Kelley,24,98.43,02-07-2023,19:12:25
Kelly Iannaccone,21,68.88,02-07-2023,19:12:25
Shellie Nettles,36,62.26,02-07-2023,19:12:25
Marie Middendorf,56,21.2,02-07-2023,19:12:25
Florence Widener,30,60.15,02-07-2023,19:12:25
Allan Householder,43,20.17,02-07-2023,19:12:25
Helen Willis,24,71.38,02-07-2023,19:12:25
Steven Harper,25,24.99,02-07-2023,19:12:25
John Horan,55,29.74,02-07-2023,19:12:25
John Burnham,18,64.44,02-07-2023,19:12:25
Louise Armstrong,20,99.92,02-07-2023,19:12:25
Lita Randolph,42,73.14,02-07-2023,19:12:25
Judith Tobias,49,95.44,02-07-2023,19:12:25
Scott Alli,42,64.43,02-07-2023,19:12:25
Bryan Austin,61,25.89,02-07-2023,19:12:25
Judy Ludlam,25,97.11,02-07-2023,19:12:25
Katherine Adderley,41,95.14,02-07-2023,19:12:25
Traci Davis,27,73.69,02-07-2023,19:12:25
Dawn Samuel,26,29.25,02-07-2023,19:12:25
Julie Eller,32,83.05,02-07-2023,19:12:25
David Jess,43,58.6,02-07-2023,19:12:25
Eugene Omalley,60,45.08,02-07-2023,19:12:25
Anita Rudolph,42,50.22,02-07-2023,19:12:25
Daren Pigg,41,25.64,02-07-2023,19:12:25
Philip Murphy,42,23.86,02-07-2023,19:12:25
Cecil Lopez,33,94.6,02-07-2023,19:12:25
Jason Key,58,87.63,02-07-2023,19:12:25
Sonya Stokes,19,77.23,02-07-2023,19:12:25
Terry Fondren,49,52.28,02-07-2023,19:12:25
Peter Kinder,46,75.2,02-07-2023,19:12:25
Andrew Wiegand,43,73.54,02-07-2023,19:12:25
Ward Meyer,24,31.12,02-07-2023,19:12:25
William Querry,60,22.79,02-07-2023,19:12:25
Genevive Olding,55,37.12,02-07-2023,19:12:25
Levi Conaughty,58,26.64,02-07-2023,19:12:25
Eddie Louis,34,53.65,02-07-2023,19:12:25
Claudia Mcmorris,42,40.62,02-07-2023,19:12:25
Oren Beane,36,41.51,02-07-2023,19:12:25
Natalie Bostwick,58,58.18,02-07-2023,19:12:25
Irene Alva,60,68.37,02-07-2023,19:12:25
Carl Davies,64,30.76,02-07-2023,19:12:25
Andrea Finley,27,98.8,02-07-2023,19:12:25
Paul Newton,40,79.47,02-07-2023,19:12:25
Carolyn Roades,24,20.59,02-07-2023,19:12:25
Malissa Gray,34,50.53,02-07-2023,19:12:25
Elda Horn,44,94.67,02-07-2023,19:12:25
Jane Salls,39,78.4,02-07-2023,19:12:25
Stephen Johnson,54,52.88,02-07-2023,19:12:25
Margaret Venneri,25,40.79,02-07-2023,19:12:25
James Kron,29,70.25,02-07-2023,19:12:25
Bradley Colindres,59,42.9,02-07-2023,19:12:25
Jennifer Routson,41,73.46,02-07-2023,19:12:25
Bernice Dufour,26,26.51,02-07-2023,19:12:25
Rhonda Hendrick,58,64.94,02-07-2023,19:12:25
Thomas Duran,41,78.64,02-07-2023,19:12:25
Erin Nquyen,46,80.41,02-07-2023,19:12:25
Wm Kim,22,80.95,02-07-2023,19:12:25
Abigail Huynh,58,49.74,02-07-2023,19:12:25
Beverly Lauseng,49,48.12,02-07-2023,19:12:25
Lelia Schmidt,34,38.22,02-07-2023,19:12:25
Lola Jones,51,77.83,02-07-2023,19:12:25
Jennifer Pletcher,24,57.4,02-07-2023,19:12:25
John Valentine,27,80.63,02-07-2023,19:12:25
George Austin,55,63.11,02-07-2023,19:12:25
Jacqueline Covert,33,97.68,02-07-2023,19:12:25
Frances Smith,44,57.26,02-07-2023,19:12:25
John Letarte,55,31.34,02-07-2023,19:12:25
Ricky Osullivan,58,88.76,02-07-2023,19:12:25
Walter Wall,50,50.77,02-07-2023,19:12:25
Marion Wiggins,35,75.68,02-07-2023,19:12:25
Lisa Miller,24,22.78,02-07-2023,19:12:25
Leo Clow,55,56.09,02-07-2023,19:12:25
Helen Schwartz,63,23.53,02-07-2023,19:12:25
Larry Stephens,40,74.56,02-07-2023,19:12:25
George Leon,54,87.29,02-07-2023,19:12:25
Heather Moore,46,54.66,02-07-2023,19:12:25
Loretta Lee,25,92.36,02-07-2023,19:12:25
Lorenzo Robison,46,97.66,02-07-2023,19:12:25
Martha Crawford,31,64.6,02-07-2023,19:12:25
Richard Gonzales,49,90.67,02-07-2023,19:12:25
Barbara Jackson,36,70.86,02-07-2023,19:12:25
Steven Dean,48,56.94,02-07-2023,19:12:25
Helen Bell,65,67.51,02-07-2023,19:12:25
Tommy Desmarais,63,71.36,02-07-2023,19:12:25
Gilbert Rowell,52,29.89,02-07-2023,19:12:25
Melinda Perry,18,68.68,02-07-2023,19:12:25
Peter Scott,18,47.23,02-07-2023,19:12:25
Douglas Thompson,46,32.44,02-07-2023,19:12:25
Cary Yocom,55,44.41,02-07-2023,19:12:25
Donna Bowdle,27,89.83,02-07-2023,19:12:25
Nancy Craig,63,55.17,02-07-2023,19:12:25
Felix Spencer,62,72.86,02-07-2023,19:12:25
Crystal Roundtree,30,28.53,02-07-2023,19:12:25
Joyce Thomas,27,30.85,02-07-2023,19:12:25
Joseph Davis,23,75.57,02-07-2023,19:12:25
Michael Scarborough,62,22.08,02-07-2023,19:12:25
Rory Pennington,25,62.72,02-07-2023,19:12:25
Kelly Wright,42,57.69,02-07-2023,19:12:25
Lilli Nix,42,61.19,02-07-2023,19:12:25
Eric Overbaugh,36,95.56,02-07-2023,19:12:25
Katherine Isaacs,48,40.02,02-07-2023,19:12:25
Geneva Decker,58,25.53,02-07-2023,19:12:25
Mark Lear,59,47.7,02-07-2023,19:12:25
Donna Furr,20,52.2,02-07-2023,19:12:25
John Smith,63,64.47,02-07-2023,19:12:25
Carla Roberts,39,89.46,02-07-2023,19:12:25
Jim Kuykendall,52,57.7,02-07-2023,19:12:25
Fabian Garcia,45,29.54,02-07-2023,19:12:25
Lora Rama,57,62.05,02-07-2023,19:12:25
Tony Reed,35,25.25,02-07-2023,19:12:25
Diana Callaghan,41,66.6,02-07-2023,19:12:25
Constance Mcfarlane,62,29.32,02-07-2023,19:12:25
Sean Kerr,28,87.6,02-07-2023,19:12:25
Audrey Saul,61,26.91,02-07-2023,19:12:25
Todd Pray,56,92.98,02-07-2023,19:12:25
Michelle Sola,57,92.93,02-07-2023,19:12:25
James Chatham,25,37.89,02-07-2023,19:12:25
Sheila Fulmer,29,98.22,02-07-2023,19:12:25
Dale Shaw,55,49.87,02-07-2023,19:12:25
John Miller,27,33.58,02-07-2023,19:12:25
Bernice Krebbs,34,85.76,02-07-2023,19:12:25
William Kahn,49,93.63,02-07-2023,19:12:25
Stephen Mcinnis,36,36.03,02-07-2023,19:12:25
Don Washington,33,73.57,02-07-2023,19:12:25
Christopher Miller,45,35.64,02-07-2023,19:12:25
Kristen Castaneda,32,39.03,02-07-2023,19:12:25
Robert Thompson,27,90.03,02-07-2023,19:12:25
William Chavis,53,39.86,02-07-2023,19:12:25
Felecia Griffin,51,22.78,02-07-2023,19:12:25
Bonita Deatherage,40,38.86,02-07-2023,19:12:25
Gertrude Jackson,25,50.85,02-07-2023,19:12:25
Karlene Schultz,53,21.69,02-07-2023,19:12:25
Judith Davis,37,41.2,02-07-2023,19:12:25
Katie Tewell,58,75.26,02-07-2023,19:12:25
Deloris Johnson,48,47.36,02-07-2023,19:12:25
Jose Clark,25,86.46,02-07-2023,19:12:25
William Burdick,36,68.1,02-07-2023,19:12:25
Judith Cervone,22,57.38,02-07-2023,19:12:25
Rebecca Harding,51,80.24,02-07-2023,19:12:25
Peggy Jones,37,51.29,02-07-2023,19:12:25
Andrew Gault,61,48.97,02-07-2023,19:12:25
Jeremiah Redmond,54,53.41,02-07-2023,19:12:25
Thomas Gransberry,62,98.79,02-07-2023,19:12:25
Clyde Blanchard,34,29.59,02-07-2023,19:12:25
Donald Scroggin,54,82.65,02-07-2023,19:12:25
Mark Bowser,35,47.14,02-07-2023,19:12:25
Sharon Ponce,52,72.98,02-07-2023,19:12:25
Elizabeth Palmer,32,83.55,02-07-2023,19:12:25
Phillip Handy,38,24.29,02-07-2023,19:12:25
Michael Castille,62,41.12,02-07-2023,19:12:25
Ryan Zuniga,39,39.54,02-07-2023,19:12:25
Amanda Smith,64,44.49,02-07-2023,19:12:25
Delta Posada,62,90.61,02-07-2023,19:12:25
Eugene Reppe,24,32.69,02-07-2023,19:12:25
Mary Meadows,57,99.34,02-07-2023,19:12:25
Tommy Aguayo,49,98.67,02-07-2023,19:12:25
Helen Pate,43,26.89,02-07-2023,19:12:25
Eddy Shalash,65,74.73,02-07-2023,19:12:25
Vickie Bell,64,78.49,02-07-2023,19:12:25
Barney Thomas,19,27.48,02-07-2023,19:12:25
Elizabeth Piatt,30,60.3,02-07-2023,19:12:25
Sandra Switzer,45,63.05,02-07-2023,19:12:25
Ofelia Vilain,48,26.35,02-07-2023,19:12:25
Kia Mitchell,64,92.44,02-07-2023,19:12:25
Mary Merry,38,43.38,02-07-2023,19:12:25
Keith Anderson,23,29.6,02-07-2023,19:12:25
Edward Powell,49,69.54,02-07-2023,19:12:25
